                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                      0,                 115.83,                      0,                      0,                      0,                      0,                      0,                 1.9637,                 4.4309,                 1.6176,              0.0001429,              0.0001429,              0.0001429
                      2,                      0,                 104.57,                      0,                      0,                      0,                      0,                      0,                 2.0921,                  4.666,                 1.9063,             0.00027038,             0.00027038,             0.00027038
                      3,                      0,                 95.752,                      0,                      0,                      0,                      0,                      0,                 2.9292,                 4.9774,                 2.4813,             0.00036674,             0.00036674,             0.00036674
                      4,                      0,                 89.109,                      0,                      0,                      0,                      0,                      0,                 3.0495,                 5.0313,                  2.634,             0.00043197,             0.00043197,             0.00043197
                      5,                      0,                 85.121,                      0,                      0,                      0,                      0,                      0,                 3.3256,                 5.0228,                 2.7826,             0.00046608,             0.00046608,             0.00046608
                      6,                      0,                 82.115,                      0,                      0,                      0,                      0,                      0,                 3.6562,                 4.9011,                   2.83,             0.00046907,             0.00046907,             0.00046907
                      7,                      0,                 80.229,                      0,                      0,                      0,                      0,                      0,                 3.5849,                 4.8895,                  2.798,             0.00044093,             0.00044093,             0.00044093
                      8,                      0,                 78.758,                      0,                      0,                      0,                      0,                      0,                 3.5707,                 4.8169,                 2.7457,             0.00038167,             0.00038167,             0.00038167
                      9,                      0,                 77.166,                      0,                      0,                      0,                      0,                      0,                 3.4904,                 4.8038,                 2.7244,             0.00029129,             0.00029129,             0.00029129
                     10,                      0,                  76.66,                      0,                      0,                      0,                      0,                      0,                 3.4631,                 4.7986,                 2.7152,             0.00015576,             0.00015576,             0.00015576
